INCOME,INCOME_TYPE,User,EDUCATION_TYPE
202500,Working,5150487,Secondary / secondary special
157500,Working,5150485,Secondary / secondary special
157500,Working,5150484,Secondary / secondary special
157500,Working,5150483,Secondary / secondary special
157500,Working,5150482,Secondary / secondary special
157500,Working,5150481,Secondary / secondary special
157500,Working,5150480,Secondary / secondary special
202500,Working,5150478,Secondary / secondary special
202500,Working,5150477,Secondary / secondary special
202500,Working,5150476,Secondary / secondary special
202500,Working,5150475,Secondary / secondary special
202500,Working,5150473,Secondary / secondary special
180000,Working,5150468,Secondary / secondary special
180000,Working,5150467,Secondary / secondary special
112500,Working,5150466,Secondary / secondary special
112500,Working,5150465,Secondary / secondary special
112500,Working,5150464,Secondary / secondary special
112500,Working,5150463,Secondary / secondary special
112500,Working,5150460,Secondary / secondary special
112500,Working,5150459,Secondary / secondary special
135000,Working,5150451,Secondary / secondary special
112500,Working,5150429,Secondary / secondary special
112500,Working,5150428,Secondary / secondary special
157500,Working,5150409,Secondary / secondary special
157500,Working,5150408,Secondary / secondary special
157500,Working,5150406,Secondary / secondary special
157500,Working,5150405,Secondary / secondary special
157500,Working,5150403,Secondary / secondary special
157500,Working,5150401,Secondary / secondary special
157500,Working,5150400,Secondary / secondary special
315000,Commercial associate,5150395,Secondary / secondary special
315000,Commercial associate,5150394,Secondary / secondary special
315000,Commercial associate,5150393,Secondary / secondary special
315000,Commercial associate,5150392,Secondary / secondary special
315000,Commercial associate,5150391,Secondary / secondary special
315000,Commercial associate,5150390,Secondary / secondary special
315000,Commercial associate,5150389,Secondary / secondary special
315000,Commercial associate,5150388,Secondary / secondary special
175500,Commercial associate,5150363,Higher education
175500,Commercial associate,5150362,Higher education
175500,Commercial associate,5150361,Higher education
175500,Commercial associate,5150359,Higher education
175500,Commercial associate,5150358,Higher education
175500,Commercial associate,5150356,Higher education
175500,Commercial associate,5150355,Higher education
175500,Commercial associate,5150354,Higher education
175500,Commercial associate,5150353,Higher education
175500,Commercial associate,5150350,Higher education
180000,Commercial associate,5150343,Secondary / secondary special
180000,Commercial associate,5150342,Secondary / secondary special
180000,Commercial associate,5150341,Secondary / secondary special
180000,Commercial associate,5150339,Secondary / secondary special
180000,Commercial associate,5150338,Secondary / secondary special
112500,Working,5150337,Secondary / secondary special
153000,Working,5150334,Secondary / secondary special
153000,Working,5150333,Secondary / secondary special
153000,Working,5150332,Secondary / secondary special
153000,Working,5150331,Secondary / secondary special
153000,Working,5150330,Secondary / secondary special
225000,Commercial associate,5150326,Higher education
225000,Commercial associate,5150325,Higher education
225000,Commercial associate,5150324,Higher education
225000,Commercial associate,5150323,Higher education
225000,Commercial associate,5150322,Higher education
225000,Commercial associate,5150320,Higher education
225000,Commercial associate,5150319,Higher education
225000,Commercial associate,5150318,Higher education
99000,Working,5150251,Incomplete higher
180000,Working,5150242,Incomplete higher
90000,Working,5150239,Secondary / secondary special
90000,Working,5150238,Secondary / secondary special
90000,Working,5150237,Secondary / secondary special
202500,State servant,5150235,Higher education
202500,State servant,5150234,Higher education
202500,State servant,5150233,Higher education
139500,Working,5150230,Incomplete higher
139500,Working,5150229,Incomplete higher
116100,Working,5150222,Secondary / secondary special
116100,Working,5150221,Secondary / secondary special
116100,Working,5150218,Secondary / secondary special
116100,Working,5150217,Secondary / secondary special
81000,Working,5150212,Secondary / secondary special
81000,Working,5150211,Secondary / secondary special
